feature,importance
diff_k9_avg10,0.03175433220584928
vis_k9_avg10,0.030794801658866403
diff_bb9_avg10,0.029500035516634163
diff_whip_avg10,0.028632864349325448
diff_era_avg10,0.02417869915912706
home_bb9_avg10,0.021954940333275705
vis_bb9_avg10,0.02148950806531551
home_k9_avg10,0.021187208983084637
vis_era_avg10,0.020626719122339657
vis_whip_avg10,0.02055725746526601
diff_hr9_avg10,0.02048718267631397
diff_ops_avg10,0.020412540221337268
diff_run_diff_avg10,0.020250040969979427
home_whip_avg10,0.019833245178846316
diff_obp_avg10,0.019570336008453718
home_obp_avg10,0.0191274840792321
diff_slg_avg10,0.01885493112028607
vis_obp_avg10,0.018719728103299013
diff_b_w_avg10,0.01870231554451016
home_hr9_avg10,0.018522133918458503
home_slg_avg10,0.018423464464365383
home_era_avg10,0.01817669211630915
vis_slg_avg10,0.018156016951149868
diff_p_r_avg10,0.018082670886613285
vis_ops_avg10,0.01772881096317974
diff_b_k_avg10,0.017707084190925662
vis_hr9_avg10,0.01750544005880598
home_ops_avg10,0.017320850635589455
away_rolling_avg_run_diff_10,0.016137023203556547
vis_b_w_avg10,0.016113942995785543
home_b_k_avg10,0.015728724069336928
diff_b_h_avg10,0.015632918535450274
vis_b_k_avg10,0.015468793865355537
temp,0.015460013680279406
home_rolling_avg_run_diff_10,0.015028657107090289
away_rolling_avg_runs_allowed_10,0.014866535061025145
diff_b_r_avg10,0.014519995631284316
home_b_h_avg10,0.01441299569809696
home_pitcher_rolling_wins_centered_10,0.014200179378291454
home_b_w_avg10,0.013971137955699986
diff_b_hr_avg10,0.013932985005139373
vis_b_h_avg10,0.01392521835222429
vis_pitcher_rolling_wins_centered_10,0.013426949348971928
home_rolling_avg_runs_10,0.013325278180630862
diff_b_sb_avg10,0.01282950280550655
home_rolling_avg_runs_allowed_10,0.012807855725497457
away_rolling_avg_runs_10,0.012396345536841637
diff_d_e_avg10,0.012198516563867461
windspeed,0.01170130168958329
vis_b_hr_avg10,0.011683126096448206
home_b_hr_avg10,0.011172702896491875
home_b_sb_avg10,0.010805479695375405
home_d_e_avg10,0.010625177706307104
home_rolling_avg_h2h_wins_10,0.010527794576689637
diff_win_avg10,0.009829976900479858
away_rolling_avg_h2h_wins_10,0.009805299018749204
vis_b_sb_avg10,0.009740265766688678
vis_d_e_avg10,0.00915893287321045
away_rolling_avg_wins_10,0.006060147424170005
home_rolling_avg_wins_10,0.005923944506834899
home_rest_days,0.0033182674183336964
away_rest_days,0.003273125032362866
daynight,0.001733554751603934
