feature,importance
diff_whip_avg10,0.07926058636701165
diff_bb9_avg10,0.06505388572776082
vis_k9_avg10,0.04786228400113221
diff_k9_avg10,0.04295555793282054
diff_era_avg10,0.0375178820775593
vis_whip_avg10,0.03556703963441455
diff_run_diff_avg10,0.033950608834049156
diff_p_r_avg10,0.032596093659321236
diff_ops_avg10,0.030950045284895936
home_bb9_avg10,0.028076265109317645
diff_b_w_avg10,0.024695079227132644
vis_bb9_avg10,0.023332740242252008
vis_era_avg10,0.022899876141054556
home_pitcher_rolling_wins_centered_10,0.02011637659010527
vis_pitcher_rolling_wins_centered_10,0.019980936389894028
home_rolling_avg_run_diff_10,0.019491669945851747
diff_slg_avg10,0.019006542242154412
diff_obp_avg10,0.018827306629956922
diff_win_avg10,0.017696583908838236
diff_b_r_avg10,0.01682835672904452
home_whip_avg10,0.015107142002697443
vis_obp_avg10,0.014186481416242513
diff_hr9_avg10,0.013774250388972857
home_k9_avg10,0.013637005720629572
away_rolling_avg_run_diff_10,0.013486265352922652
vis_slg_avg10,0.013428382064604564
vis_hr9_avg10,0.013028260778535727
vis_ops_avg10,0.012707384241310009
diff_b_hr_avg10,0.012295554015777251
home_era_avg10,0.012141268034225756
diff_b_h_avg10,0.011668497102368615
home_obp_avg10,0.011385794322890752
away_rolling_avg_runs_allowed_10,0.011351885785903336
temp,0.011102389457837857
home_ops_avg10,0.011030217165416668
home_slg_avg10,0.010566778037536303
home_hr9_avg10,0.010402862930564014
diff_b_k_avg10,0.01007656246351479
home_rolling_avg_runs_10,0.0100166812071063
home_rolling_avg_runs_allowed_10,0.009878117324509243
home_b_w_avg10,0.009398579254539357
vis_b_w_avg10,0.009055914236570206
vis_b_hr_avg10,0.008275768201808253
diff_b_sb_avg10,0.008195072920378556
vis_b_h_avg10,0.008016702366259851
diff_d_e_avg10,0.0076072991214045935
home_b_hr_avg10,0.007449713250265636
home_rolling_avg_h2h_wins_10,0.007278462945733861
vis_b_k_avg10,0.006732643580120792
home_b_h_avg10,0.006283421964347902
away_rolling_avg_wins_10,0.005582375446077312
away_rolling_avg_h2h_wins_10,0.005538645717556779
home_b_k_avg10,0.005331382299485449
vis_b_sb_avg10,0.004447527532423594
windspeed,0.0040263646949920805
away_rolling_avg_runs_10,0.0038803498799496548
home_b_sb_avg10,0.003545585413400485
home_rolling_avg_wins_10,0.0030455620612017784
home_d_e_avg10,0.0023501193596578932
vis_d_e_avg10,0.001977933345088651
home_rest_days,0.0018500377057709544
away_rest_days,0.0018340258170730466
daynight,0.0003590163977598684
