params,mean_test_score,std_test_score,rank_test_score
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622237872631142,0.018059508616338198,37
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 1.0, 'model__class_weight': None, 'model__C': 10.0}",0.5622237872631142,0.018059508616338198,37
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 1.0}",0.5622148619683965,0.018045678629505523,39
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 1.0}",0.5622148619683965,0.018045678629505523,39
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': None, 'model__C': 2.0}",0.562212888968092,0.018040992665001684,41
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 10.0}",0.5622122482816116,0.018097522802723535,42
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.5, 'model__class_weight': None, 'model__C': 10.0}",0.5622009828508852,0.018030198386692623,43
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.5621923935750226,0.018127491774345732,44
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.5621923935750226,0.018127491774345732,44
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.5, 'model__class_weight': 'balanced', 'model__C': 5.0}",0.56218652752506,0.018083489393036473,46
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 1.0, 'model__class_weight': 'balanced', 'model__C': 10.0}",0.5621864591782935,0.018078120098521944,47
"{'model__solver': 'saga', 'model__max_iter': 3000, 'model__l1_ratio': 1.0, 'model__class_weight': 'balanced', 'model__C': 10.0}",0.5621864591782935,0.018078120098521944,47
"{'model__solver': 'saga', 'model__max_iter': 10000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 1.0}",0.5621815843698843,0.018093913038681055,49
"{'model__solver': 'saga', 'model__max_iter': 5000, 'model__l1_ratio': 0.0, 'model__class_weight': 'balanced', 'model__C': 1.0}",0.5621815843698843,0.018093913038681055,49
